link_id,Oneway,Speed,DriveTime,Length_Miles,RoadClass,AADT,start_node,end_node,ft,lanes,sl,med,at,terrain,capacity
126482,B,25,0.030721508879999998,0.0128006287,"11 Other Local, Neighborhood, Rural Roads",NA,130454,130648,Local,1,25,None,Suburban,level,800
126483,B,40,0.1052352465,0.070156831,"3 US Highways, Unseparated",29000,130734,130632,PrArterial,2,50,NonRestrictive,Suburban,level,2160
126517,B,25,0.020372997360000002,0.0084887489,"11 Other Local, Neighborhood, Rural Roads",NA,108412,108109,Local,1,25,None,Suburban,level,800
126520,B,25,0.16327999991999997,0.0680333333,"11 Other Local, Neighborhood, Rural Roads",NA,111537,111535,Local,1,25,None,Suburban,level,800
126521,B,25,0.3090649267200001,0.1287770528,"11 Other Local, Neighborhood, Rural Roads",NA,136955,137048,Local,1,25,None,Suburban,level,800
126528,B,25,0.21997261344,0.0916552556,"11 Other Local, Neighborhood, Rural Roads",NA,127074,127069,Local,1,25,None,Suburban,level,800
126543,B,25,0.17957045591999998,0.0748210233,"11 Other Local, Neighborhood, Rural Roads",NA,134677,134675,Local,1,25,None,Suburban,level,800
126583,B,40,0.1381388232,0.0920925488,"3 US Highways, Unseparated",31000,125024,125088,PrArterial,2,50,NonRestrictive,Suburban,level,2160
126590,B,25,0.15400842167999998,0.0641701757,"11 Other Local, Neighborhood, Rural Roads",NA,133087,132707,Local,1,25,None,Suburban,level,800
126613,B,25,0.31503687624,0.1312653651,"11 Other Local, Neighborhood, Rural Roads",NA,121931,121923,Local,1,25,None,Suburban,level,800
126623,B,40,0.1254753282,0.0836502188,"3 US Highways, Unseparated",47000,127465,127117,PrArterial,2,50,NonRestrictive,Suburban,level,2160
126624,B,25,0.89503984488,0.3729332687,"11 Other Local, Neighborhood, Rural Roads",NA,127018,126967,Local,1,25,None,Suburban,level,800
126672,B,25,0.2228521824,0.092855076,"11 Other Local, Neighborhood, Rural Roads",NA,134485,134934,Local,1,25,None,Suburban,level,800
126678,B,25,0.04295019912,0.0178959163,"11 Other Local, Neighborhood, Rural Roads",NA,124918,125041,Local,1,25,None,Suburban,level,800
126679,B,25,0.29275862135999997,0.1219827589,"11 Other Local, Neighborhood, Rural Roads",NA,132387,132388,Local,1,25,None,Suburban,level,800
126683,B,25,0.22134974783999997,0.0922290616,"11 Other Local, Neighborhood, Rural Roads",NA,117453,117697,Local,1,25,None,Suburban,level,800
126686,B,25,0.15145022976,0.0631042624,"11 Other Local, Neighborhood, Rural Roads",NA,132234,131987,Local,1,25,None,Suburban,level,800
126689,B,25,0.08807957016,0.0366998209,"11 Other Local, Neighborhood, Rural Roads",NA,126513,126364,Local,1,25,None,Suburban,level,800
126692,B,25,0.36272609520000004,0.151135873,"11 Other Local, Neighborhood, Rural Roads",NA,125422,125423,Local,1,25,None,Suburban,level,800
126705,TF,40,0.1665012039,0.1110008026,"7 Ramps, Collectors",NA,134669,135072,MinArterial,2,35,NonRestrictive,Suburban,level,1800
126726,B,25,0.09683495304,0.0403478971,"11 Other Local, Neighborhood, Rural Roads",NA,125118,124873,Local,1,25,None,Suburban,level,800
126730,B,25,0.14034038112,0.0584751588,"11 Other Local, Neighborhood, Rural Roads",NA,118436,118501,Local,1,25,None,Suburban,level,800
126733,B,25,0.06184254792,0.0257677283,"11 Other Local, Neighborhood, Rural Roads",NA,128230,128362,Local,1,25,None,Suburban,level,800
126745,B,25,0.19192710792,0.0799696283,"11 Other Local, Neighborhood, Rural Roads",NA,127559,127521,Local,1,25,None,Suburban,level,800
126750,B,25,0.54229459176000006,0.2259560799,10 Other Federal Aid Eligible Local Roads,1100,121942,121823,Local,1,25,None,Suburban,level,800
126754,B,25,0.18233329031999998,0.0759722043,"11 Other Local, Neighborhood, Rural Roads",NA,136151,136675,Local,1,25,None,Suburban,level,800
126775,,25,0.10267743456,0.0427822644,"11 Other Local, Neighborhood, Rural Roads",NA,130062,130053,Local,1,25,None,Suburban,level,800
126777,B,25,0.24232881192,0.1009703383,"11 Other Local, Neighborhood, Rural Roads",NA,125539,125465,Local,1,25,None,Suburban,level,800
126788,B,25,0.1858153224,0.077423051,"11 Other Local, Neighborhood, Rural Roads",NA,120982,120985,Local,1,25,None,Suburban,level,800
126789,B,25,0.27970029432000004,0.1165417893,"11 Other Local, Neighborhood, Rural Roads",NA,111907,111536,Local,1,25,None,Suburban,level,800
126791,B,40,0.0238993899,0.0159329266,"3 US Highways, Unseparated",41000,127027,127304,PrArterial,2,50,NonRestrictive,Suburban,level,2160
126814,B,25,0.31741137888,0.1322547412,"11 Other Local, Neighborhood, Rural Roads",NA,125093,125065,Local,1,25,None,Suburban,level,800
126823,B,25,0.14394042792,0.0599751783,"11 Other Local, Neighborhood, Rural Roads",NA,134530,134839,Local,1,25,None,Suburban,level,800
126826,B,25,0.11930472336,0.0497103014,"11 Other Local, Neighborhood, Rural Roads",NA,132535,132530,Local,1,25,None,Suburban,level,800
126842,B,25,0.1561452264,0.065060511,10 Other Federal Aid Eligible Local Roads,8000,125131,125002,Local,1,25,None,Suburban,level,800
126863,B,25,0.31415718504,0.1308988271,"11 Other Local, Neighborhood, Rural Roads",NA,122195,122082,Local,1,25,None,Suburban,level,800
126882,B,25,0.16180507704,0.0674187821,"11 Other Local, Neighborhood, Rural Roads",NA,127945,127645,Local,1,25,None,Suburban,level,800
126883,B,25,0.07163566751999999,0.0298481948,"11 Other Local, Neighborhood, Rural Roads",NA,118390,118389,Local,1,25,None,Suburban,level,800
126902,B,25,0.1100448816,0.045852034,"11 Other Local, Neighborhood, Rural Roads",NA,125722,125612,Local,1,25,None,Suburban,level,800
126905,B,25,0.22349099352000001,0.0931212473,"11 Other Local, Neighborhood, Rural Roads",NA,131073,131070,Local,1,25,None,Suburban,level,800
126907,B,25,0.08829459336,0.0367894139,"11 Other Local, Neighborhood, Rural Roads",NA,118542,118529,Local,1,25,None,Suburban,level,800
126915,B,25,0.24674002535999998,0.1028083439,"11 Other Local, Neighborhood, Rural Roads",NA,129836,129728,Local,1,25,None,Suburban,level,800
126918,B,25,0.2914219932,0.1214258305,"11 Other Local, Neighborhood, Rural Roads",NA,134070,133999,Local,1,25,None,Suburban,level,800
126925,B,25,0.14798111016,0.0616587959,"11 Other Local, Neighborhood, Rural Roads",NA,130355,130347,Local,1,25,None,Suburban,level,800
126967,B,25,0.16479001848,0.0686625077,10 Other Federal Aid Eligible Local Roads,8200,128063,128237,Local,1,25,None,Suburban,level,800
126971,B,25,0.26431745592,0.1101322733,"11 Other Local, Neighborhood, Rural Roads",NA,133484,133668,Local,1,25,None,Suburban,level,800
126976,B,25,0.13257781343999997,0.0552407556,"11 Other Local, Neighborhood, Rural Roads",NA,126439,126197,Local,1,25,None,Suburban,level,800
126978,B,25,0.25232239584,0.1051343316,"11 Other Local, Neighborhood, Rural Roads",NA,124195,124194,Local,1,25,None,Suburban,level,800
126982,B,25,0.05384880096,0.0224370004,"11 Other Local, Neighborhood, Rural Roads",NA,119517,119514,Local,1,25,None,Suburban,level,800
126995,B,25,0.13384113264,0.0557671386,"11 Other Local, Neighborhood, Rural Roads",NA,126499,126445,Local,1,25,None,Suburban,level,800
127002,B,25,0.22866082248,0.0952753427,"11 Other Local, Neighborhood, Rural Roads",NA,126449,126544,Local,1,25,None,Suburban,level,800
127025,B,25,0.06211867704000001,0.0258827821,"11 Other Local, Neighborhood, Rural Roads",NA,124608,124695,Local,1,25,None,Suburban,level,800
